STOP_NAME,STOP_ID,STOP_LAT,STOP_LON
S Potsdamer Platz Bhf/VoÌÙstr. (Berlin),900000100022,52.510147000000,13.376656000000
U Krumme Lanke (Berlin),900000050201,52.442615000000,13.240360000000
S Beusselstr. (Berlin),900000020202,52.534314000000,13.328703000000
Schoenefeld (bei Berlin), Bohnsdorfer Chaussee,900000460746,52.397442000000,13.530337000000
S Sonnenallee/Saalestr. (Berlin),900000077110,52.472215000000,13.454458000000
S+U Brandenburger Tor/Glinkastr. (Berlin),900000100037,52.516702000000,13.384094000000
S Ostbahnhof/Erich-Steinfurth-Str. (Berlin),900000120010,52.510507000000,13.437045000000
Schoenefeld (bei Berlin), Grundschule,900000261106,52.392121000000,13.500287000000
Schoenefeld (bei Berlin), Oberschule,160000006011,52.395613000000,13.530009000000
Schoenefeld (bei Berlin), Grundschule,160000006531,52.392121000000,13.500287000000
S Flughafen Berlin-Schoenefeld Bhf,160000006001,52.390792000000,13.513522000000
Schoenefeld (bei Berlin), Dorf,160000005981,52.387267000000,13.505263000000
U Rudow (Berlin),160000011031,52.415714000000,13.496527000000
U Rudow (Berlin),160000011032,52.415714000000,13.496527000000
Schoenefeld (bei Berlin), Dorf,160000005982,52.387267000000,13.505263000000
U Johannisthaler Chaussee (Berlin),160000011091,52.429253000000,13.453851000000
U Johannisthaler Chaussee (Berlin),160000011092,52.429253000000,13.453851000000
Schoenerlinde (LDS), Abzweig,160000000651,51.952536000000,13.514757000000
Schoenerlinde (LDS), Abzweig,160000000652,51.952536000000,13.514757000000
Schoenefeld (bei Berlin), Gartenstr.,160000006501,52.392999000000,13.525041000000
S+U Westhafen (Berlin),900000001201,52.536183000000,13.343837000000
S Nordbahnhof/Gartenstr. (Berlin),900000007108,52.533360000000,13.387492000000
Schoeneiche (bei Berlin), Miethkestr.,900000310500,52.476716000000,13.699207000000
S Bellevue (Berlin),060003102223,52.519951000000,13.347098000000
S Bellevue (Berlin),060003102224,52.519951000000,13.347098000000
S Tiergarten (Berlin),060003103233,52.513959000000,13.336241000000
S Tiergarten (Berlin),060003103234,52.513959000000,13.336241000000
S+U Berlin Hauptbahnhof,060003201213,52.525847000000,13.368924000000
S+U Berlin Hauptbahnhof,060003201214,52.525847000000,13.368924000000
S+U Gesundbrunnen Bhf (Berlin),060007102721,52.548637000000,13.388372000000
S+U Gesundbrunnen Bhf (Berlin),060007102722,52.548637000000,13.388372000000
S+U Gesundbrunnen Bhf (Berlin),060007102723,52.548637000000,13.388372000000
S+U Gesundbrunnen Bhf (Berlin),060007102724,52.548637000000,13.388372000000
S+U Jungfernheide Bhf (Berlin),060020201955,52.530431000000,13.300135000000
S+U Jungfernheide Bhf (Berlin),060020201956,52.530431000000,13.300135000000
S Beusselstr. (Berlin),060020202811,52.534314000000,13.328703000000
S Beusselstr. (Berlin),060020202812,52.534314000000,13.328703000000
S+U Zoologischer Garten Bhf (Berlin),060023201255,52.506921000000,13.332707000000
S+U Zoologischer Garten Bhf (Berlin),060023201256,52.506921000000,13.332707000000
S Charlottenburg Bhf (Berlin),060024101335,52.504805000000,13.303843000000
S Charlottenburg Bhf (Berlin),060024101336,52.504805000000,13.303843000000
S Charlottenburg Bhf (Berlin),060024101337,52.504805000000,13.303843000000
S Charlottenburg Bhf (Berlin),060024101338,52.504805000000,13.303843000000
S Westkreuz (Berlin),060024102371,52.501152000000,13.283036000000
S Westkreuz (Berlin),060024102372,52.501152000000,13.283036000000
S Westkreuz (Berlin),060024102373,52.501152000000,13.283036000000
S Westkreuz (Berlin),060024102374,52.501152000000,13.283036000000
S Messe Nord/ICC (Berlin),060024106801,52.506454000000,13.283043000000
S Messe Nord/ICC (Berlin),060024106802,52.506454000000,13.283043000000
S Savignyplatz (Berlin),060024203303,52.505223000000,13.319003000000
S Savignyplatz (Berlin),060024203304,52.505223000000,13.319003000000
S Olympiastadion (Berlin),060025321431,52.511135000000,13.241111000000
S Olympiastadion (Berlin),060025321432,52.511135000000,13.241111000000
S Messe Sued (Berlin),060025423401,52.498771000000,13.270450000000
S Messe Sued (Berlin),060025423402,52.498771000000,13.270450000000
S Pichelsberg (Berlin),060025424461,52.510264000000,13.227196000000
