STOP_NAME;STOP_LAT;STOP_LON;COORDINATE
U Hohenzollernplatz (Berlin);52.493833000000;13.324051000000;0101000000C15774EB353F4A40E2783E03EAA52A40
U Holzhauser Str. (Berlin);52.576252000000;13.295083000000;0101000000962023A0C2494A400D36751E15972A40
U Hoenow (Berlin);52.538105000000;13.634541000000;01010000003468E89FE0444A4039F1D58EE2442B40
U Jakob-Kaiser-Platz (Berlin);52.536985000000;13.293661000000;0101000000A6B8AAECBB444A40A8380EBC5A962A40
U Johannisthaler Chaussee (Berlin);52.429253000000;13.453851000000;0101000000DE5A26C3F1364A40888384285FE82A40
U Kaiserdamm (Berlin);52.509985000000;13.281695000000;0101000000AC39403047414A40B8E4B8533A902A40
U Kaiserin-Augusta-Str. (Berlin);52.460512000000;13.384905000000;010100000031B5A50EF23A4A403E22A64412C52A40
U Karl-Marx-Str. (Berlin);52.476429000000;13.439805000000;0101000000D9EE1EA0FB3C4A400C3CF71E2EE12A40
U Kaulsdorf-Nord (Berlin);52.521436000000;13.588763000000;0101000000817A336ABE424A4090300C58722D2B40
U Kienberg (Berlin);52.527349000000;13.589345000000;0101000000064A0A2C80434A404B1FBAA0BE2D2B40
U Kleistpark (Berlin);52.490845000000;13.360917000000;0101000000DB334B02D43E4A401024EF1CCAB82A40
U Klosterstr. (Berlin);52.517229000000;13.412455000000;01010000007AC5538F34424A40B324404D2DD32A40
U Kochstr./Checkpoint Charlie (Berlin);52.506673000000;13.390863000000;010100000013622EA9DA404A40D26EF4311FC82A40
U Konstanzer Str. (Berlin);52.493567000000;13.310084000000;010100000042B115342D3F4A4096067E54C39E2A40
U Kottbusser Tor (Berlin);52.499047000000;13.417748000000;01010000005D15A8C5E03F4A4056F0DB10E3D52A40
U Krumme Lanke (Berlin);52.442615000000;13.240360000000;01010000000ADCBA9BA7384A407B884677107B2A40
U Kurfuerstendamm (Berlin);52.503763000000;13.331419000000;0101000000A9F7544E7B404A40CA8B4CC0AFA92A40
U Kurfuerstenstr. (Berlin);52.499778000000;13.362857000000;010100000051A1BAB9F83F4A40D53F8864C8B92A40
U Kurt-Schumacher-Platz (Berlin);52.563483000000;13.327328000000;01010000000D6D003620484A4053211E8997A72A40
U Leinestr. (Berlin);52.472874000000;13.428400000000;010100000079909E22873C4A407A36AB3E57DB2A40
U Leopoldplatz (Berlin);52.546493000000;13.359395000000;0101000000183F8D7BF3454A401CB1169F02B82A40
U Lindauer Allee (Berlin);52.575394000000;13.339047000000;01010000004628B682A6494A40249D819197AD2A40
U Lipschitzallee (Berlin);52.424645000000;13.463109000000;010100000078B471C45A364A406EF7729F1CED2A40
U Louis-Lewin-Str. (Berlin);52.539135000000;13.619707000000;010100000082902C6002454A405D34643C4A3D2B40
U Magdalenenstr. (Berlin);52.512214000000;13.489439000000;0101000000D446753A90414A401EC6A4BF97FA2A40
U Mehringdamm (Berlin);52.493567000000;13.388140000000;010100000042B115342D3F4A40F4893C49BAC62A40
U Mendelssohn-Bartholdy-Park (Berlin);52.503806000000;13.374719000000;0101000000A8C30AB77C404A403161342BDBBF2A40
U Mierendorffplatz (Berlin);52.525978000000;13.305715000000;01010000002F35423F53434A4014CB2DAD869C2A40
U Mohrenstr. (Berlin);52.511519000000;13.383798000000;01010000002D24607479414A40598AE42B81C42A40
U Moritzplatz (Berlin);52.503739000000;13.410947000000;0101000000215C01857A404A4054C72AA567D22A40
U Maerkisches Museum (Berlin);52.512007000000;13.408767000000;01010000005A29047289414A40395E81E849D12A40
U Maerkisches Museum/Inselstr. (Berlin);52.512353000000;13.412093000000;0101000000F58079C894414A4031D28BDAFDD22A40
